from,to,μ
質問,否定,1
定義,結論,1
explain,定義,1
explain,express,0
質問,説明,1
define,質問,1
define,説明,1
define,否定,1
define,explain,0
explain,結論,1
compare,質問,1
express,inquire,0
否定,質問,1
説明,結論,1
inquire,explain,0
express,define,0
inquire,質問,1
説明,定義,1
compare,否定,1
compare,explain,0
define,inquire,0
否定,説明,1
inquire,否定,1
compare,説明,1
質問,定義,1
define,定義,1
define,express,0
compare,inquire,0
質問,結論,1
inquire,説明,1
compare,define,0
define,結論,1
定義,否定,1
結論,質問,1
express,結論,1
定義,質問,1
定義,説明,1
express,定義,1
inquire,define,0
compare,結論,1
explain,compare,0
結論,否定,1
否定,結論,1
inquire,express,0
compare,express,0
結論,説明,1
inquire,結論,1
否定,定義,1
inquire,定義,1
explain,質問,1
explain,否定,1
compare,定義,1
express,compare,0
explain,説明,1
説明,質問,1
explain,define,0
結論,定義,1
inquire,compare,0
define,compare,0
説明,否定,1
express,否定,1
express,explain,0
explain,inquire,0
express,質問,1
express,説明,1
