source,target,type
fold_macro.yaml::refute,fold_macro.yaml::conclude,macro→macro
fold_macro.yaml::結論,fold_macro.yaml::否定,macro→macro
fold_macro.yaml::define,fold_macro.yaml::否定,macro→macro
fold_macro.yaml::express,fold_macro.yaml::否定,macro→macro
fold_macro.yaml::質問,fold_macro.yaml::否定,macro→macro
fold_macro.yaml::compare,fold_macro.yaml::否定,macro→macro
fold_macro.yaml::explain,fold_macro.yaml::否定,macro→macro
fold_macro.yaml::結論,fold_macro.yaml::否定,macro→macro
fold_macro.yaml::説明,fold_macro.yaml::否定,macro→macro
fold_macro.yaml::inquire,fold_macro.yaml::否定,macro→macro
fold_macro.yaml::定義,fold_macro.yaml::否定,macro→macro
fold_macro.yaml::説明,fold_macro.yaml::定義,macro→macro
fold_macro.yaml::define,fold_macro.yaml::定義,macro→macro
fold_macro.yaml::express,fold_macro.yaml::定義,macro→macro
fold_macro.yaml::質問,fold_macro.yaml::定義,macro→macro
fold_macro.yaml::compare,fold_macro.yaml::定義,macro→macro
fold_macro.yaml::explain,fold_macro.yaml::定義,macro→macro
fold_macro.yaml::結論,fold_macro.yaml::定義,macro→macro
fold_macro.yaml::説明,fold_macro.yaml::定義,macro→macro
fold_macro.yaml::否定,fold_macro.yaml::定義,macro→macro
fold_macro.yaml::inquire,fold_macro.yaml::定義,macro→macro
fold_macro.yaml::原因,fold_macro.yaml::結論,macro→macro
fold_macro.yaml::define,fold_macro.yaml::結論,macro→macro
fold_macro.yaml::express,fold_macro.yaml::結論,macro→macro
fold_macro.yaml::質問,fold_macro.yaml::結論,macro→macro
fold_macro.yaml::compare,fold_macro.yaml::結論,macro→macro
fold_macro.yaml::explain,fold_macro.yaml::結論,macro→macro
fold_macro.yaml::説明,fold_macro.yaml::結論,macro→macro
fold_macro.yaml::否定,fold_macro.yaml::結論,macro→macro
fold_macro.yaml::inquire,fold_macro.yaml::結論,macro→macro
fold_macro.yaml::定義,fold_macro.yaml::結論,macro→macro
fold_macro.yaml::定義,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::質問,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::define,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::express,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::質問,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::compare,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::explain,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::結論,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::否定,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::inquire,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::定義,fold_macro.yaml::説明,macro→macro
fold_macro.yaml::否定,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::結論,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::define,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::express,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::compare,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::explain,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::結論,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::説明,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::否定,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::inquire,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::定義,fold_macro.yaml::質問,macro→macro
fold_macro.yaml::define,fold_macro.yaml::compare,macro→macro
fold_macro.yaml::express,fold_macro.yaml::compare,macro→macro
fold_macro.yaml::explain,fold_macro.yaml::compare,macro→macro
fold_macro.yaml::inquire,fold_macro.yaml::compare,macro→macro
fold_macro.yaml::express,fold_macro.yaml::define,macro→macro
fold_macro.yaml::compare,fold_macro.yaml::define,macro→macro
fold_macro.yaml::explain,fold_macro.yaml::define,macro→macro
fold_macro.yaml::inquire,fold_macro.yaml::define,macro→macro
fold_macro.yaml::define,fold_macro.yaml::explain,macro→macro
fold_macro.yaml::express,fold_macro.yaml::explain,macro→macro
fold_macro.yaml::compare,fold_macro.yaml::explain,macro→macro
fold_macro.yaml::inquire,fold_macro.yaml::explain,macro→macro
fold_macro.yaml::define,fold_macro.yaml::express,macro→macro
fold_macro.yaml::compare,fold_macro.yaml::express,macro→macro
fold_macro.yaml::explain,fold_macro.yaml::express,macro→macro
fold_macro.yaml::inquire,fold_macro.yaml::express,macro→macro
fold_macro.yaml::define,fold_macro.yaml::inquire,macro→macro
fold_macro.yaml::express,fold_macro.yaml::inquire,macro→macro
fold_macro.yaml::compare,fold_macro.yaml::inquire,macro→macro
fold_macro.yaml::explain,fold_macro.yaml::inquire,macro→macro
